Kinematic Variable,DatScan Variable,Pearson Correlation,P-value,N
meanopeningspeed,Contralateral_Caudate_old,-0.14203737076348324,0.36357504174543087,43
stdopeningspeed,Contralateral_Caudate_Z,-0.11492142661786178,0.3697877614241172,63
meanclosingspeed,Contralateral_Striatum_new,0.11285846083013945,0.37849839033270766,63
rangecycleduration,Contralateral_Caudate_new,0.11117622674489187,0.3856917877149172,63
rangecycleduration,Contralateral_Caudate_Z,0.10637684140249815,0.4066573605676774,63
meanclosingspeed,Contralateral_Caudate_old,-0.12848224593126345,0.4115897524569336,43
amplitudedecay,Contralateral_Caudate_old,-0.12814203374156652,0.412839562457828,43
rate,Contralateral_Putamen_new,-0.10059534117263967,0.43277336928313975,63
meanclosingspeed,Contralateral_Putamen_new,0.09822217912635521,0.4437612471629791,63
rate,Contralateral_Striatum_new,-0.09349100382323118,0.4661236595852727,63
amplitudedecay,Contralateral_Putamen_old,-0.10253340537726373,0.5129366422933349,43
stdamplitude,Contralateral_Putamen_old,-0.10208632673326266,0.5147857227669193,43
cvopeningspeed,Contralateral_Putamen_old,0.09826284056936391,0.5307343925515017,43
meanrmsvelocity,Contralateral_Putamen_old,-0.09533238677007526,0.543119240961543,43
stdopeningspeed,Contralateral_Putamen_old,0.0951202651980261,0.5440210687530306,43
cvrmsvelocity,Contralateral_Putamen_old,0.09056100968638106,0.5635759985193074,43
rate,Contralateral_Caudate_new,-0.07270470437643758,0.5712102167402225,63
meanopeningspeed,Contralateral_Striatum_old,0.08607619743620433,0.5925760523263215,41
stdcycleduration,Contralateral_Caudate_old,-0.08087387302944049,0.6061728465802415,43
meanspeed,Contralateral_Putamen_old,-0.07741282759651158,0.6217207795296684,43
rate,Contralateral_Caudate_Z,0.05863330021912893,0.6480584520816149,63
meanamplitude,Contralateral_Putamen_old,-0.06782021112080923,0.6656540503619066,43
cvamplitude,Contralateral_Putamen_old,-0.06639543436980541,0.6722793413649022,43
meancycleduration,Contralateral_Caudate_new,-0.052821795588308976,0.6809613868908662,63
cvclosingspeed,Contralateral_Putamen_old,-0.06292838411746232,0.6885031806425825,43
meancycleduration,Contralateral_Striatum_old,0.0633799440467729,0.6938206636680343,41
cvspeed,Contralateral_Putamen_old,0.055356956685460236,0.7244079539221581,43
rate,Contralateral_Putamen_old,-0.042865115245555245,0.7849085550221215,43
rate,Contralateral_Striatum_Z,0.03466237802319521,0.787394307695881,63
meancycleduration,Contralateral_Striatum_new,-0.03343737245858001,0.7947411262850974,63
stdrmsvelocity,Contralateral_Putamen_old,0.03978341585871474,0.8000439482087425,43
stdcycleduration,Contralateral_Putamen_old,-0.036896579627580334,0.8142883055751303,43
meanclosingspeed,Contralateral_Striatum_old,-0.03268937579980013,0.8392170014251196,41
meancycleduration,Contralateral_Putamen_new,-0.02491616298402398,0.8463045282440956,63
rate,Contralateral_Putamen_Z,0.023307086334351478,0.8561208485158117,63
meanrmsvelocity,Contralateral_Striatum_old,0.016225769554956387,0.9197972341895365,41
meancycleduration,Contralateral_Putamen_old,-0.015128979994791,0.9232907073218425,43
velocitydecay,Contralateral_Putamen_old,0.010447720158997672,0.9469851436155782,43
velocitydecay,Contralateral_Caudate_old,-0.008888482212037892,0.9548883472457808,43
stdspeed,Contralateral_Putamen_old,0.006831618466693439,0.9653202478631153,43
meanspeed,Contralateral_Striatum_old,0.005476038118433632,0.9728934098714878,41
cvcycleduration,Contralateral_Putamen_old,-0.005175326874777747,0.9737247839363451,43
meanopeningspeed,Contralateral_Putamen_old,0.004109315377313876,0.9791355989885395,43
